	PC	ES1	EC	ES2	C	ES3
ppt_194878	0	0	0	0	270.10835	0
ppt_228022	0	0	0	0	269.2041188	0
ppt_48569	0	0	0	0	269.0633527	0
ppt_267530	0	0	0	0	268.9727946	0
ppt_118667	0	0	0	0	268.6950994	0
ppt_88264	0	0	0	0	267.7221742	0
ppt_215722	0	0	0	0	267.2601422	0
ppt_251736	0	0	0	0	266.832361	0
ppt_74393	0	0	0	0	264.950314	0
ppt_144227	0	0	0	0	264.3057131	0
ppt_252734	0	0	0	0	263.8800198	0
ppt_214979	0	0	0	0	263.7282965	0
ppt_118072	0	0	0	0	263.3466155	0
ppt_250913	0	0	0	0	262.5959273	0
ppt_164540	0	0	0	0	262.472912	0
ppt_213229	0	0	0	0	262.0766135	0
ppt_86442	0	0	0	0	262.0255486	0
ppt_59076	0	0	0	0	261.9123117	0
ppt_132304	0	0	0	0	261.4794875	0
ppt_82834	0	0	0	0	261.1605079	0
ppt_267527	0	0	0	0	260.9653418	0
ppt_135589	0	0	0	0	259.2430126	0
ppt_162025	0	0	0	0	259.1471014	0
ppt_218612	0	0	0	0	257.9048483	0
ppt_257827	0	0	0	0	257.1572025	0
ppt_88262	0	0	0	0	257.1315843	0
ppt_138116	0	0	0	0	257.0214738	0
ppt_256840	0	0	0	0	256.9814232	0
ppt_59072	0	0	0	0	256.4597245	0
ppt_236983	0	0	0	0	256.402784	0
ppt_86441	0	0	0	0	256.0881195	0
ppt_79076	0	0	0	0	255.3737487	0
ppt_218857	0	0	0	0	254.4816484	0
ppt_135591	0	0	0	0	253.4338616	0
ppt_37130	0	0	0	0	253.4302858	0
ppt_90506	0	0	0	0	252.6603387	0
ppt_157719	0	0	0	0	252.5446753	0
ppt_112686	0	0	0	0	252.177342	0
ppt_8488	0	0	0	0	251.6942325	0
ppt_240873	0	0	0	0	251.3349497	0
ppt_118041	0	0	0	0	251.208694	0
ppt_37128	0	0	0	0	250.7271492	0
ppt_160600	0	0	0	0	250.3525013	0
ppt_59075	0	0	0	0	249.9459743	0
ppt_54378	0	0	0	0	249.6672155	0
ppt_223000	0	0	0	0	249.0925572	0
ppt_203437	0	0	0	0	247.5606625	0
ppt_255686	0	0	0	0	246.4310986	0
ppt_119530	0	0	0	0	246.2049724	0
ppt_124993	0	0	0	0	245.0368051	0
ppt_159586	0	0	0	0	244.8315116	0
ppt_107702	0	0	0	0	244.7229705	0
ppt_97472	0	0	0	0	244.1089381	0
ppt_139257	0	0	0	0	243.4317701	0
ppt_80155	0	0	0	0	242.6502741	0
ppt_219239	0	0	0	0	242.4965814	0
ppt_126796	0	0	0	0	242.2055832	0
ppt_188290	0	0	0	0	241.7850086	0
ppt_236982	0	0	0	0	241.6099326	0
ppt_124999	0	0	0	0	241.090424	0
ppt_253738	0	0	0	0	240.5570164	0
ppt_188783	0	0	0	0	240.2285498	0
ppt_79746	0	0	0	0	240.136399	0
ppt_144156	0	0	0	0	238.9263052	0
ppt_221033	0	0	0	0	238.3649479	0
ppt_10364	0	0	0	0	237.8128848	0
ppt_117674	0	0	0	0	237.6831211	0
ppt_51926	0	0	0	0	237.5176871	0
ppt_59628	0	0	0	0	237.4171929	0
ppt_118975	0	0	0	0	237.3879863	0
ppt_72758	0	0	0	0	236.9214628	0
ppt_89253	0	0	0	0	236.3239414	0
ppt_136927	0	0	0	0	235.3563713	0
ppt_206194	0	0	0	0	235.3497021	0
ppt_131525	0	0	0	0	234.8218086	0
ppt_242394	0	0	0	0	234.5852015	0
ppt_258034	0	0	0	0	234.5393389	0
ppt_159647	0	0	0	0	234.2577877	0
ppt_192429	0	0	0	0	233.9827973	0
ppt_238027	0	0	0	0	233.6804371	0
ppt_256930	0	0	0	0	233.6390159	0
ppt_54140	0	0	0	0	232.9202651	0
ppt_163305	0	0	0	0	232.8166297	0
ppt_91966	0	0	0	0	232.8141916	0
ppt_110676	0	0	0	0	232.4969748	0
ppt_217656	0	0	0	0	232.0904207	0
ppt_110688	0	0	0	0	230.9153702	0
ppt_139607	0	0	0	0	230.9071686	0
ppt_182361	0	0	0	0	230.1070521	0
ppt_78991	0	0	0	0	230.015916	0
ppt_138493	0	0	0	0	228.7719222	0
ppt_114064	0	0	0	0	228.3905491	0
ppt_36665	0	0	0	0	228.3501749	0
ppt_132301	0	0	0	0	228.3144931	0
ppt_252443	0	0	0	0	228.2931452	0
ppt_47797	0	0	0	0	227.9241434	0
ppt_61643	0	0	0	0	227.7544928	0
ppt_251964	0	0	0	0	227.7256236	0
ppt_188823	0	0	0	0	227.5231175	0
ppt_206836	0	0	0	0	226.3606497	0
ppt_205332	0	0	0	0	226.2024847	0
ppt_112681	0	0	0	0	226.006384	0
ppt_255842	0	0	0	0	225.7393741	0
ppt_159375	0	0	0	0	225.5636199	0
ppt_41138	0	0	0	0	225.5569408	0
ppt_164640	0	0	0	0	224.758515	0
ppt_156386	0	0	0	0	224.7103656	0
ppt_150626	0	0	0	0	224.3777606	0
ppt_202010	0	0	0	0	223.2569753	0
ppt_71767	0	0	0	0	223.1356194	0
ppt_66839	0	0	0	0	222.8460202	0
ppt_162021	0	0	0	0	222.217813	0
ppt_188292	0	0	0	0	221.8156445	0
ppt_148789	0	0	0	0	221.6221422	0
ppt_253265	0	0	0	0	221.1658138	0
ppt_112825	0	0	0	0	220.9824471	0
ppt_255019	0	0	0	0	220.7685302	0
ppt_205441	0	0	0	0	220.7599593	0
ppt_69705	0	0	0	0	220.49527	0
ppt_121630	0	0	0	0	220.258081	0
ppt_54141	0	0	0	0	220.1546782	0
ppt_132313	0	0	0	0	220.006346	0
ppt_202643	0	0	0	0	219.6162041	0
ppt_79141	0	0	0	0	219.5495528	0
ppt_256609	0	0	0	0	219.4066475	0
ppt_116378	0	0	0	0	219.1211765	0
ppt_121242	0	0	0	0	219.1178554	0
ppt_112680	0	0	0	0	218.7531964	0
ppt_48917	0	0	0	0	217.5711396	0
ppt_204179	0	0	0	0	216.604799	0
ppt_158069	0	0	0	0	216.5156724	0
ppt_240273	0	0	0	0	216.470492	0
ppt_241941	0	0	0	0	216.2603015	0
ppt_228162	0	0	0	0	216.0639091	0
ppt_194732	0	0	0	0	216.0449552	0
ppt_218131	0	0	0	0	215.8583769	0
ppt_253731	0	0	0	0	215.7126384	0
ppt_215252	0	0	0	0	215.3874516	0
ppt_90566	0	0	0	0	214.6190089	0
ppt_86398	0	0	0	0	214.3297254	0
ppt_251766	0	0	0	0	214.0323744	0
ppt_131522	0	0	0	0	213.9608699	0
ppt_205249	0	0	0	0	213.5995042	0
ppt_36662	0	0	0	0	213.3955874	0
ppt_235843	0	0	0	0	213.3506932	0
ppt_141614	0	0	0	0	213.1075564	0
ppt_256147	0	0	0	0	212.6938805	0
ppt_91938	0	0	0	0	212.1914112	0
ppt_83806	0	0	0	0	211.9946542	0
ppt_129580	0	0	0	0	211.9291434	0
ppt_129581	0	0	0	0	211.7677672	0
ppt_159408	0	0	0	0	211.4771664	0
ppt_73957	0	0	0	0	211.0939021	0
ppt_199571	0	0	0	0	211.042664	0
ppt_203056	0	0	0	0	210.9774892	0
ppt_205303	0	0	0	0	210.862958	0
ppt_203438	0	0	0	0	210.6711203	0
ppt_62801	0	0	0	0	210.3435965	0
ppt_65699	0	0	0	0	210.3295627	0
ppt_8198	0	0	0	0	210.1727326	0
ppt_67386	0	0	0	0	210.1379449	0
ppt_194805	0	0	0	0	210.1063154	0
ppt_172018	0	0	0	0	209.9612619	0
ppt_42975	0	0	0	0	209.8874532	0
ppt_231233	0	0	0	0	209.8691342	0
ppt_223626	0	0	0	0	209.8656104	0
ppt_96199	0	0	0	0	209.3676236	0
ppt_256834	0	0	0	0	209.2366575	0
ppt_112684	0	0	0	0	208.5829621	0
ppt_252439	0	0	0	0	208.5006785	0
ppt_256184	0	0	0	0	208.3112522	0
ppt_159643	0	0	0	0	207.7497124	0
ppt_254618	0	0	0	0	207.7252817	0
ppt_139253	0	0	0	0	207.5225625	0
ppt_241855	0	0	0	0	207.2152882	0
ppt_251738	0	0	0	0	206.7951945	0
ppt_254159	0	0	0	0	206.688927	0
ppt_239410	0	0	0	0	206.6643288	0
ppt_91926	0	0	0	0	205.9644221	0
ppt_206639	0	0	0	0	205.6113561	0
ppt_205311	0	0	0	0	204.9036957	0
ppt_187955	0	0	0	0	204.8106312	0
ppt_97717	0	0	0	0	204.7631584	0
ppt_90567	0	0	0	0	204.7619269	0
ppt_185128	0	0	0	0	204.3453375	0
